RoomsCount;TotalArea;FloorType;WallType;RepairType;BuildingAge;BalconyBlockPresence;ElevatorPresence;BanksCount;BarsCount;KindergartensCount;FillingStationsCount;CafesCount;CinemasCount;SubwayStationcCount;ClothingStoresCount;PublicTransportStopsCount;CulturalParksCount;PizzeriasCount;ChildsClinicsCount;PostOfficesCount;DentalClinicsCount;GroceryStoresCount;ShoppingMallsCount;UniversitiesCount;SchoolsCount;Value
4;132,3;Не первый и не последний;Кирпичные;Евроремонт;3;Нет;Да;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;25500000
2;63,2;Не первый и не последний;Кирпичные;Евроремонт;3;Да;Да;12;3;9;4;16;3;1;24;8;3;6;3;1;17;15;3;1;6;6850000
2;56,7;Не первый и не последний;Кирпичные;Евроремонт;3;Да;Да;1;0;2;2;1;0;0;1;2;1;0;1;1;0;1;1;0;2;5300000
3;77;Не первый и не последний;Кирпичные;Евроремонт;3;Да;Да;1;0;2;2;1;0;0;1;2;1;0;1;1;0;1;1;0;2;7700000
2;63;Не первый и не последний;Монолитные;Евроремонт;3;Да;Да;4;4;7;3;0;0;0;4;4;1;3;1;1;5;11;7;18;2;4120000
1;41;Не первый и не последний;Кирпичные;Косметический ремонт;3;Да;Да;4;4;5;2;0;0;0;3;3;1;3;1;1;5;10;6;18;1;3300000
1;32;Не первый и не последний;Кирпичные;Косметический ремонт;3;Да;Да;0;0;2;0;0;0;0;0;8;0;0;2;1;1;3;0;0;2;1800000
1;20,6;Не первый и не последний;Кирпичные;Косметический ремонт;3;Да;Да;0;0;2;0;0;0;0;0;8;0;0;2;1;1;3;0;0;2;1380000
1;20;Не первый и не последний;Кирпичные;Косметический ремонт;3;Да;Да;0;0;2;0;0;0;0;0;8;0;0;2;1;1;3;0;0;2;1400000
1;20;Не первый и не последний;Кирпичные;Косметический ремонт;3;Да;Да;0;0;2;0;0;0;0;0;8;0;0;2;1;1;3;0;0;2;1470000
1;35,5;Не первый и не последний;Кирпичные;Косметический ремонт;3;Нет;Нет;6;3;9;3;0;2;0;14;8;1;4;1;2;6;20;6;0;3;2700000
2;61;Не первый и не последний;Монолитные;Косметический ремонт;3;Да;Да;4;4;7;3;0;0;0;4;4;1;3;1;1;5;11;7;18;2;4360000
3;78,6;Не первый и не последний;Монолитные;Косметический ремонт;3;Да;Нет;3;0;8;6;1;0;0;12;4;1;2;1;1;1;11;1;0;6;5499000
1;33;Не первый и не последний;Панельные;Косметический ремонт;3;Да;Да;0;0;2;0;0;0;0;0;8;0;0;2;1;1;3;0;0;2;2250000
2;56;Не первый и не последний;Панельные;Косметический ремонт;3;Да;Нет;0;1;2;0;0;0;0;1;6;0;0;0;0;0;3;0;0;1;3449000
2;63;Не первый и не последний;Кирпичные;Без ремонта;4;Да;Да;3;1;5;2;1;0;0;1;1;0;1;0;1;2;2;2;0;3;6500000
2;67;Не первый и не последний;Кирпичные;Дизайнерский ремонт;4;Да;Да;41;17;10;4;36;4;3;52;9;4;6;9;3;43;18;10;35;8;8500000
1;41,76;Не первый и не последний;Кирпичные;Евроремонт;4;Да;Да;35;11;18;2;16;2;3;42;3;3;2;4;4;32;25;13;11;12;3960000
3;71,3;Не первый и не последний;Кирпичные;Евроремонт;4;Да;Да;22;7;11;4;8;3;2;28;8;1;4;4;3;18;20;10;0;7;7800000
1;35;Не первый и не последний;Кирпичные;Евроремонт;4;Да;Да;4;3;9;3;0;1;0;7;9;1;3;1;1;5;18;6;0;3;2600000
2;64,17;Не первый и не последний;Кирпичные;Евроремонт;4;Да;Да;3;1;5;2;1;0;0;1;1;0;1;0;1;2;2;2;0;3;7000000
2;67;Не первый и не последний;Кирпичные;Евроремонт;4;Да;Да;3;1;5;2;1;0;0;1;1;0;1;0;1;2;2;2;0;3;6700000
2;68;Не первый и не последний;Кирпичные;Евроремонт;4;Да;Нет;3;1;5;2;1;0;0;1;1;0;1;0;1;2;2;2;0;3;6600000
2;68;Не первый и не последний;Кирпичные;Евроремонт;4;Да;Да;3;1;5;2;1;0;0;1;1;0;1;0;1;2;2;2;0;3;6300000
3;97,5;Не первый и не последний;Кирпичные;Евроремонт;4;Да;Да;3;1;5;2;1;0;0;1;1;0;1;0;1;2;2;2;0;3;12360000
1;32,7;Не первый и не последний;Панельные;Евроремонт;4;Да;Да;17;3;8;0;1;0;0;9;10;1;1;6;3;16;17;4;6;11;2900000
3;73,8;Не первый и не последний;Кирпичные;Без ремонта;5;Да;Нет;32;7;10;4;29;4;3;51;10;3;5;9;3;40;18;10;33;6;7790000
3;104;Не первый и не последний;Монолитные;Без ремонта;5;Да;Да;21;13;10;4;13;1;3;27;16;7;0;8;3;23;14;6;15;4;8500000
1;45;Не первый и не последний;Монолитные;Дизайнерский ремонт;5;Нет;Да;33;11;17;2;16;2;3;44;4;3;4;4;3;35;23;14;11;10;4450000
1;43;Не первый и не последний;Монолитные;Евроремонт;5;Да;Да;33;11;17;2;16;2;3;44;4;3;4;4;3;35;23;14;11;10;4450000
2;60;Не первый и не последний;Монолитные;Евроремонт;5;Да;Да;13;4;7;3;4;1;0;20;6;1;4;7;2;16;15;4;0;10;5160000
2;66;Не первый и не последний;Монолитные;Евроремонт;5;Да;Да;13;4;7;3;4;1;0;20;6;1;4;7;2;16;15;4;0;10;5490000
3;87,4;Не первый и не последний;Монолитные;Евроремонт;5;Да;Да;21;13;10;4;13;1;3;27;16;7;0;8;3;23;14;6;15;4;9500000
3;111,5;Не первый и не последний;Кирпичные;Косметический ремонт;5;Да;Да;32;7;10;4;29;4;3;51;10;3;5;9;3;40;18;10;33;6;11990000
1;37,9;Не первый и не последний;Кирпичные;Косметический ремонт;5;Да;Нет;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1900000
